Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,565.88,565.88,565.88,1307.47
Pessimistic Lock,800,1045.63,1045.63,1045.63,1954.32
Pessimistic Lock,1000,1103.02,1103.02,1103.02,2597.5
Pub/Sub Lock,500,772.45,772.45,772.45,1588.26
Pub/Sub Lock,800,1010.04,1010.04,1010.04,1871.63
Pub/Sub Lock,1000,751.69,751.69,751.69,2054.39
Spin Lock,500,432.49,432.49,432.49,1151.5
Spin Lock,800,905.15,905.15,905.15,1904.76
Spin Lock,1000,942.73,942.73,942.73,1881.45
ZooKeeper Lock,500,315.9,315.9,315.9,876.64
ZooKeeper Lock,800,612.78,612.78,612.78,1411.25
ZooKeeper Lock,1000,993.62,993.62,993.62,2404.54
