Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,307.48,319.34,0.0,946.16
Pessimistic Lock,800,567.96,453.34,0.0,1474.65
Pessimistic Lock,1000,678.4,505.93,0.0,1690.26
Pub/Sub Lock,500,271.76,302.69,0.0,877.14
Pub/Sub Lock,800,581.96,469.24,0.0,1520.45
Pub/Sub Lock,1000,699.82,512.6,0.0,1725.02
Spin Lock,500,309.32,320.37,0.0,950.06
Spin Lock,800,558.92,471.25,0.0,1501.42
Spin Lock,1000,670.85,523.36,0.0,1717.58
ZooKeeper Lock,500,316.0,316.99,0.0,949.98
ZooKeeper Lock,800,527.3,459.01,0.0,1445.31
ZooKeeper Lock,1000,691.31,512.32,0.0,1715.94
