Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,547.81,500.22,459.13,1219.33
Pessimistic Lock,800,853.11,815.27,779.0,1800.94
Pessimistic Lock,1000,1132.83,939.11,686.78,2034.62
Pub/Sub Lock,500,575.48,445.2,278.57,1165.48
Pub/Sub Lock,800,1137.59,824.34,704.61,1809.64
Pub/Sub Lock,1000,1052.92,958.88,808.66,1864.64
Spin Lock,500,856.28,600.01,374.52,1376.63
Spin Lock,800,1117.34,910.73,725.56,1848.18
Spin Lock,1000,1268.24,1218.36,1112.62,2365.79
ZooKeeper Lock,500,766.28,646.89,541.03,1474.84
ZooKeeper Lock,800,1221.41,868.23,665.88,1817.99
ZooKeeper Lock,1000,1188.94,1032.72,914.63,1984.96
