Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,547.81,537.6,527.39,1244.09
Pessimistic Lock,800,845.25,812.13,779.0,1729.06
Pessimistic Lock,1000,893.59,790.18,686.78,1909.73
Pub/Sub Lock,500,502.56,463.38,424.2,1250.31
Pub/Sub Lock,800,1137.59,933.75,729.91,1932.84
Pub/Sub Lock,1000,1018.04,986.98,955.92,1966.39
Spin Lock,500,525.99,450.25,374.52,1173.37
Spin Lock,800,1007.48,866.52,725.56,1809.95
Spin Lock,1000,1242.13,1177.38,1112.62,2180.59
ZooKeeper Lock,500,766.28,663.44,560.61,1524.51
ZooKeeper Lock,800,727.31,696.59,665.88,1612.16
ZooKeeper Lock,1000,1188.94,1127.74,1066.53,2132.89
