Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,875.29,423.23,28.82,1721.76
Pessimistic Lock,800,1261.33,455.88,349.56,2173.1
Pessimistic Lock,1000,725.22,508.42,0.0,1742.06
Pub/Sub Lock,500,573.73,442.44,0.0,1458.6
Pub/Sub Lock,800,924.52,583.58,0.0,2091.67
Pub/Sub Lock,1000,1090.31,578.22,0.0,2246.76
Spin Lock,500,556.42,393.88,0.0,1344.17
Spin Lock,800,1064.38,437.63,189.12,1939.64
Spin Lock,1000,1013.73,525.19,0.0,2064.11
ZooKeeper Lock,500,395.66,347.06,0.0,1089.79
ZooKeeper Lock,800,1236.41,448.33,339.74,2133.07
ZooKeeper Lock,1000,1186.82,727.63,0.0,2642.08
