Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,41.67,52.22,62.5,144.87,15
Pessimistic Lock,800,66.58,81.75,100.0,172.57,15
Pessimistic Lock,1000,55.56,82.93,100.0,186.17,15
Pub/Sub Lock,500,41.58,52.2,62.5,122.67,15
Pub/Sub Lock,800,57.14,78.91,100.0,193.97,15
Pub/Sub Lock,1000,71.29,90.86,125.0,206.27,15
Spin Lock,500,35.71,61.53,83.33,143.93,15
Spin Lock,800,57.14,80.68,100.0,193.73,15
Spin Lock,1000,50.0,83.2,100.0,197.23,15
ZooKeeper Lock,500,35.71,55.96,83.33,136.93,15
ZooKeeper Lock,800,57.14,82.48,133.33,178.93,15
ZooKeeper Lock,1000,50.0,84.45,100.0,189.57,15
