Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,547.81,547.81,547.81,1197.71
Pessimistic Lock,800,845.25,845.25,845.25,1772.77
Pessimistic Lock,1000,686.78,686.78,686.78,1783.98
Pub/Sub Lock,500,424.2,424.2,424.2,1243.72
Pub/Sub Lock,800,729.91,729.91,729.91,1692.93
Pub/Sub Lock,1000,955.92,955.92,955.92,1857.47
Spin Lock,500,525.99,525.99,525.99,1317.8
Spin Lock,800,1007.48,1007.48,1007.48,2083.75
Spin Lock,1000,1112.62,1112.62,1112.62,2118.39
ZooKeeper Lock,500,766.28,766.28,766.28,1713.46
ZooKeeper Lock,800,727.31,727.31,727.31,1655.16
ZooKeeper Lock,1000,1066.53,1066.53,1066.53,2096.63
