Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,533.43,387.85,0.0,1309.14
Pessimistic Lock,800,829.04,507.89,0.0,1844.81
Pessimistic Lock,1000,869.24,549.97,18.11,1969.17
Pub/Sub Lock,500,423.94,380.27,0.0,1184.48
Pub/Sub Lock,800,764.77,515.62,8.42,1796.02
Pub/Sub Lock,1000,945.48,480.27,26.21,1906.03
Spin Lock,500,608.16,431.61,0.0,1471.39
Spin Lock,800,920.7,487.78,28.78,1896.25
Spin Lock,1000,1231.76,572.09,133.83,2375.95
ZooKeeper Lock,500,610.61,423.8,0.0,1458.22
ZooKeeper Lock,800,858.54,514.18,38.37,1886.89
ZooKeeper Lock,1000,1000.06,517.21,51.0,2034.48
