Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,666.29,533.43,459.13,1256.4
Pessimistic Lock,800,884.08,829.04,779.0,1788.98
Pessimistic Lock,1000,1132.83,869.24,589.76,1901.69
Pub/Sub Lock,500,575.48,423.94,278.57,1108.76
Pub/Sub Lock,800,1137.59,764.77,526.47,1728.52
Pub/Sub Lock,1000,1052.92,945.48,808.66,1855.19
Spin Lock,500,856.28,608.16,374.52,1411.82
Spin Lock,800,1117.34,920.7,725.56,1844.17
Spin Lock,1000,1285.38,1231.76,1112.62,2310.4
ZooKeeper Lock,500,766.28,610.61,465.49,1407.15
ZooKeeper Lock,800,1221.41,858.54,665.88,1828.18
ZooKeeper Lock,1000,1188.94,1000.06,869.42,1978.09
