Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,547.81,343.07,0.0,1233.95
Pessimistic Lock,800,845.25,489.48,0.0,1824.21
Pessimistic Lock,1000,686.78,598.52,0.0,1883.82
Pub/Sub Lock,500,424.2,473.16,0.0,1370.52
Pub/Sub Lock,800,729.91,511.78,0.0,1753.46
Pub/Sub Lock,1000,955.92,476.12,3.68,1908.15
Spin Lock,500,525.99,427.1,0.0,1380.19
Spin Lock,800,1007.48,568.04,0.0,2143.55
Spin Lock,1000,1112.62,531.69,49.24,2176.01
ZooKeeper Lock,500,766.28,502.15,0.0,1770.59
ZooKeeper Lock,800,727.31,491.65,0.0,1710.61
ZooKeeper Lock,1000,1066.53,542.95,0.0,2152.43
