Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,50.0,56.25,62.5,150.25,6
Pessimistic Lock,800,57.14,69.49,80.0,186.58,6
Pessimistic Lock,1000,71.43,93.85,125.0,212.42,6
Pub/Sub Lock,500,41.67,56.92,62.5,147.42,6
Pub/Sub Lock,800,57.0,72.36,80.0,215.75,6
Pub/Sub Lock,1000,62.5,89.56,124.88,234.92,6
Spin Lock,500,41.67,54.86,62.5,140.33,6
Spin Lock,800,57.07,71.69,80.0,161.42,6
Spin Lock,1000,71.43,73.41,83.33,233.83,6
ZooKeeper Lock,500,41.67,49.96,62.5,131.92,6
ZooKeeper Lock,800,57.14,75.07,100.0,200.08,6
ZooKeeper Lock,1000,55.5,71.23,83.33,205.83,6
