Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,41.67,53.33,62.5,148.5,5
Pessimistic Lock,800,66.67,81.31,100.0,157.8,5
Pessimistic Lock,1000,62.5,77.74,100.0,181.0,5
Pub/Sub Lock,500,41.58,49.15,62.5,116.8,5
Pub/Sub Lock,800,66.67,81.33,100.0,201.0,5
Pub/Sub Lock,1000,83.33,93.31,100.0,223.5,5
Spin Lock,500,50.0,64.14,83.33,148.3,5
Spin Lock,800,66.67,81.31,99.88,193.0,5
Spin Lock,1000,50.0,73.43,99.9,203.9,5
ZooKeeper Lock,500,41.58,54.15,62.5,154.6,5
ZooKeeper Lock,800,66.67,74.67,80.0,174.5,5
ZooKeeper Lock,1000,83.25,93.28,100.0,187.0,5
