Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,495.43,325.31,215.16,900.28
Pessimistic Lock,800,839.67,568.68,430.71,1433.75
Pessimistic Lock,1000,946.33,677.66,448.59,1597.42
Pub/Sub Lock,500,507.18,301.06,161.29,856.72
Pub/Sub Lock,800,684.71,536.48,375.68,1374.85
Pub/Sub Lock,1000,942.57,770.25,566.91,1742.24
Spin Lock,500,533.57,447.76,360.13,1183.0
Spin Lock,800,764.52,558.04,247.92,1413.15
Spin Lock,1000,809.73,655.3,520.93,1657.99
ZooKeeper Lock,500,629.45,290.8,123.4,812.08
ZooKeeper Lock,800,646.74,430.96,192.78,1186.53
ZooKeeper Lock,1000,988.83,627.99,423.26,1553.24
