Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,296.39,316.05,0.0,928.48
Pessimistic Lock,800,592.21,472.29,0.0,1536.79
Pessimistic Lock,1000,708.06,511.78,0.0,1731.62
Pub/Sub Lock,500,287.45,313.56,0.0,914.57
Pub/Sub Lock,800,574.23,478.64,0.0,1531.51
Pub/Sub Lock,1000,725.77,521.25,0.0,1768.27
Spin Lock,500,321.85,325.03,0.0,971.91
Spin Lock,800,569.39,475.45,0.0,1520.29
Spin Lock,1000,683.87,529.5,0.0,1742.87
ZooKeeper Lock,500,291.03,304.55,0.0,900.13
ZooKeeper Lock,800,507.05,451.26,0.0,1409.56
ZooKeeper Lock,1000,693.82,523.81,0.0,1741.45
