Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,495.43,297.69,139.34,840.7
Pessimistic Lock,800,839.67,559.01,286.06,1380.64
Pessimistic Lock,1000,956.85,652.69,323.46,1567.66
Pub/Sub Lock,500,645.38,276.23,69.41,787.23
Pub/Sub Lock,800,833.37,558.16,266.06,1407.37
Pub/Sub Lock,1000,942.57,709.02,444.21,1684.06
Spin Lock,500,533.57,308.27,149.11,873.8
Spin Lock,800,885.15,546.91,223.15,1394.52
Spin Lock,1000,1171.84,690.36,302.25,1655.36
ZooKeeper Lock,500,629.45,309.52,87.17,862.57
ZooKeeper Lock,800,898.01,525.17,192.78,1348.87
ZooKeeper Lock,1000,988.83,694.26,423.26,1643.02
