Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,50.0,50.0,50.0,129.0,1
Pessimistic Lock,800,100.0,100.0,100.0,242.5,1
Pessimistic Lock,1000,100.0,100.0,100.0,210.0,1
Pub/Sub Lock,500,62.38,62.38,62.38,107.0,1
Pub/Sub Lock,800,100.0,100.0,100.0,193.5,1
Pub/Sub Lock,1000,100.0,100.0,100.0,150.0,1
Spin Lock,500,62.5,62.5,62.5,179.0,1
Spin Lock,800,100.0,100.0,100.0,241.0,1
Spin Lock,1000,100.0,100.0,100.0,265.5,1
ZooKeeper Lock,500,49.9,49.9,49.9,108.5,1
ZooKeeper Lock,800,100.0,100.0,100.0,150.5,1
ZooKeeper Lock,1000,83.33,83.33,83.33,193.0,1
