Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,41.67,51.04,62.5,160.62,4
Pessimistic Lock,800,66.67,76.64,80.0,154.62,4
Pessimistic Lock,1000,62.5,79.32,100.0,188.88,4
Pub/Sub Lock,500,41.58,45.81,50.0,114.62,4
Pub/Sub Lock,800,66.67,81.67,100.0,203.62,4
Pub/Sub Lock,1000,83.33,95.81,100.0,239.62,4
Spin Lock,500,50.0,64.55,83.33,159.5,4
Spin Lock,800,66.67,81.64,99.88,201.88,4
Spin Lock,1000,50.0,66.82,83.33,216.25,4
ZooKeeper Lock,500,41.67,57.29,62.5,167.88,4
ZooKeeper Lock,800,66.67,73.33,80.0,165.75,4
ZooKeeper Lock,1000,83.25,91.62,100.0,187.62,4
