Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,310.66,317.92,0.0,946.5
Pessimistic Lock,800,563.11,444.61,0.0,1452.32
Pessimistic Lock,1000,660.91,495.26,0.0,1651.43
Pub/Sub Lock,500,281.46,298.44,0.0,878.34
Pub/Sub Lock,800,585.05,479.22,0.0,1543.5
Pub/Sub Lock,1000,687.44,512.51,0.0,1712.46
Spin Lock,500,326.48,335.98,0.0,998.44
Spin Lock,800,506.29,445.13,0.0,1396.56
Spin Lock,1000,708.4,534.09,0.0,1776.57
ZooKeeper Lock,500,303.99,314.25,0.0,932.5
ZooKeeper Lock,800,529.59,450.18,0.0,1429.94
ZooKeeper Lock,1000,697.99,507.29,0.0,1712.57
