Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,537.6,376.35,0.0,1290.3
Pessimistic Lock,800,812.13,484.15,0.0,1780.42
Pessimistic Lock,1000,790.18,601.94,0.0,1994.06
Pub/Sub Lock,500,463.38,440.02,0.0,1343.43
Pub/Sub Lock,800,933.75,529.77,21.04,1993.28
Pub/Sub Lock,1000,986.98,516.82,1.84,2020.62
Spin Lock,500,450.25,396.14,0.0,1242.54
Spin Lock,800,866.52,497.72,0.0,1861.95
Spin Lock,1000,1177.38,531.5,114.39,2240.37
ZooKeeper Lock,500,663.44,457.97,0.0,1579.38
ZooKeeper Lock,800,696.59,486.13,0.0,1668.85
ZooKeeper Lock,1000,1127.74,531.64,74.14,2191.02
