Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,50.0,50.0,50.0,176.5,1
Pessimistic Lock,800,66.67,66.67,66.67,148.5,1
Pessimistic Lock,1000,83.33,83.33,83.33,178.0,1
Pub/Sub Lock,500,41.58,41.58,41.58,99.0,1
Pub/Sub Lock,800,66.67,66.67,66.67,193.5,1
Pub/Sub Lock,1000,83.33,83.33,83.33,320.5,1
Spin Lock,500,50.0,50.0,50.0,135.0,1
Spin Lock,800,80.0,80.0,80.0,142.0,1
Spin Lock,1000,62.5,62.5,62.5,175.0,1
ZooKeeper Lock,500,62.5,62.5,62.5,184.0,1
ZooKeeper Lock,800,66.67,66.67,66.67,123.5,1
ZooKeeper Lock,1000,83.33,83.33,83.33,171.5,1
