Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,547.81,511.44,459.13,1233.79
Pessimistic Lock,800,853.11,825.79,779.0,1820.34
Pessimistic Lock,1000,1043.23,874.53,686.78,1921.18
Pub/Sub Lock,500,575.48,500.75,424.2,1275.01
Pub/Sub Lock,800,1137.59,864.25,725.26,1864.69
Pub/Sub Lock,1000,1052.92,1008.96,955.92,1953.14
Spin Lock,500,643.24,514.58,374.52,1260.98
Spin Lock,800,1007.48,841.86,725.56,1771.42
Spin Lock,1000,1250.44,1201.73,1112.62,2258.47
ZooKeeper Lock,500,766.28,622.64,541.03,1442.77
ZooKeeper Lock,800,1221.41,871.53,665.88,1804.93
ZooKeeper Lock,1000,1188.94,1056.7,914.63,2057.72
