Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,41.67,54.66,62.5,138.48,25
Pessimistic Lock,800,57.07,74.69,100.0,183.8,25
Pessimistic Lock,1000,62.5,84.35,125.0,211.14,25
Pub/Sub Lock,500,41.67,51.49,62.5,144.74,25
Pub/Sub Lock,800,49.94,74.05,100.0,202.4,25
Pub/Sub Lock,1000,55.56,86.84,125.0,224.44,25
Spin Lock,500,41.67,51.33,83.33,139.28,25
Spin Lock,800,50.0,72.43,133.17,189.1,25
Spin Lock,1000,55.56,80.15,125.0,232.32,25
ZooKeeper Lock,500,41.58,51.14,83.33,132.0,25
ZooKeeper Lock,800,57.07,75.49,100.0,195.56,25
ZooKeeper Lock,1000,55.5,78.6,100.0,209.74,25
