Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,312.19,317.79,0.0,947.77
Pessimistic Lock,800,565.91,444.81,0.0,1455.53
Pessimistic Lock,1000,668.16,493.97,0.0,1656.1
Pub/Sub Lock,500,287.28,300.68,0.0,888.64
Pub/Sub Lock,800,587.33,476.79,0.0,1540.92
Pub/Sub Lock,1000,685.22,516.16,0.0,1717.53
Spin Lock,500,326.83,334.37,0.0,995.58
Spin Lock,800,519.35,449.36,0.0,1418.07
Spin Lock,1000,705.32,527.8,0.0,1760.92
ZooKeeper Lock,500,298.26,311.53,0.0,921.33
ZooKeeper Lock,800,530.37,450.04,0.0,1430.45
ZooKeeper Lock,1000,697.01,510.43,0.0,1717.87
