Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,500.22,387.57,0.0,1275.35
Pessimistic Lock,800,815.27,521.84,0.0,1858.95
Pessimistic Lock,1000,939.11,583.9,22.64,2106.91
Pub/Sub Lock,500,445.2,401.27,0.0,1247.75
Pub/Sub Lock,800,824.34,523.71,10.52,1871.76
Pub/Sub Lock,1000,958.88,478.34,32.76,1915.56
Spin Lock,500,600.01,417.39,0.0,1434.8
Spin Lock,800,910.73,495.08,25.12,1900.88
Spin Lock,1000,1218.36,607.05,62.07,2432.46
ZooKeeper Lock,500,646.89,439.8,0.0,1526.5
ZooKeeper Lock,800,868.23,503.51,47.96,1875.24
ZooKeeper Lock,1000,1032.72,503.34,63.76,2039.39
