Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,511.44,388.78,0.0,1289.0
Pessimistic Lock,800,825.79,526.46,0.0,1878.72
Pessimistic Lock,1000,874.53,560.07,30.18,1994.67
Pub/Sub Lock,500,500.75,425.8,0.0,1352.35
Pub/Sub Lock,800,864.25,531.47,14.03,1927.19
Pub/Sub Lock,1000,1008.96,498.81,43.68,2006.58
Spin Lock,500,514.58,404.03,0.0,1322.65
Spin Lock,800,841.86,490.63,0.0,1823.11
Spin Lock,1000,1201.73,559.49,82.76,2320.7
ZooKeeper Lock,500,622.64,436.69,0.0,1496.01
ZooKeeper Lock,800,871.53,495.68,63.95,1862.89
ZooKeeper Lock,1000,1056.7,528.78,49.43,2114.26
