Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,495.43,269.86,139.34,776.46
Pessimistic Lock,800,839.67,620.42,430.71,1509.7
Pessimistic Lock,1000,956.85,732.52,448.59,1683.77
Pub/Sub Lock,500,507.18,287.11,161.29,831.9
Pub/Sub Lock,800,780.95,588.04,375.68,1449.81
Pub/Sub Lock,1000,942.57,744.48,566.91,1721.35
Spin Lock,500,533.57,383.6,202.26,1043.45
Spin Lock,800,885.15,584.78,247.92,1465.37
Spin Lock,1000,853.62,696.94,520.93,1704.6
ZooKeeper Lock,500,629.45,317.34,123.4,876.33
ZooKeeper Lock,800,771.27,470.37,192.78,1251.52
ZooKeeper Lock,1000,988.83,673.97,423.26,1643.75
