DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 21:33:23,368,281,0,464.11,349.4,140.5,103.79,14582.5,81,0,124.505,150.922
2026-04-06 21:33:25,23,205,0,328.073,326.249,102.5,165,16912.5,205,0,83.034,113.366
2026-04-06 21:33:27,4,10,0,11,3.924,5,165,825,10,0,2.6,4
2026-04-06 21:33:29,0,4,0,13,1.871,2,165,330,4,0,3.5,4.5
