DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 20:53:27,905,95,0,1061.937,498.344,47.5,74,3515,0,0,172.779,286.011
2026-04-06 20:53:29,901,79,0,641.43,325.717,39.5,74,2923,0,0,155.734,178.557
2026-04-06 20:53:31,528,296,0,869.486,537.562,148,157.007,23237,270,0,213.365,337.27
2026-04-06 20:53:33,115,415,0,1098.386,495.083,207.5,165,34237.5,415,0,258.986,341.289
2026-04-06 20:53:35,2,113,0,1318.186,474.919,56.5,165,9322.5,113,0,228.735,286.956
2026-04-06 20:53:37,1,1,0,10,0,0.5,165,82.5,1,0,2,3
2026-04-06 20:53:39,0,1,0,14,0,0.5,165,82.5,1,0,4,6
