DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 19:33:22,410,92,0,218.087,175.248,46,74,3404,0,0,56.054,112.924
2026-03-29 19:33:24,401,13,0,124.462,166.349,6.5,74,481,0,0,60.615,143.769
2026-03-29 19:33:26,215,180,0,808.794,462.265,90,116.972,10527.5,85,0,204.856,249.311
2026-03-29 19:33:28,9,206,0,703.364,311.073,103,165,16995,206,0,183.369,260.233
2026-03-29 19:33:30,1,8,0,11.5,3.5,4,165,660,8,0,2.75,3.875
2026-03-29 19:33:32,0,1,0,11,0,0.5,165,82.5,1,0,3,4
