DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 14:33:22,404,96,0,124.104,91.112,48,81,3888,0,0,35.573,57.833
2026-03-29 14:33:24,319,85,0,157.494,101.769,42.5,81,3442.5,0,0,52.165,77.718
2026-03-29 14:33:26,105,214,0,793.107,341.766,107,157.542,16857,195,0,226.332,325.598
2026-03-29 14:33:28,3,102,0,646.196,265.615,51,165,8415,102,0,146.137,215.333
2026-03-29 14:33:30,1,2,0,12.5,0.5,1,165,165,2,0,4.5,5.5
2026-03-29 14:33:32,0,1,0,12,0,0.5,165,82.5,1,0,4,6
