DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 20:13:26,706,93,1,724.108,296.665,46.5,77,3580.5,0,0,212.183,356.022
2026-03-29 20:13:28,388,322,0,1095.497,378.17,161,136.031,21901,216,0,265.593,390.748
2026-03-29 20:13:30,17,367,0,635.529,386.239,183.5,165,30277.5,367,0,180.441,238.458
2026-03-29 20:13:32,4,13,0,7.615,4.234,6.5,165,1072.5,13,0,2.385,3.462
2026-03-29 20:13:34,0,4,0,11.75,1.479,2,165,330,4,0,4,5.25
