DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 20:23:26,791,533,0,779.602,465.644,266.5,133.48,35572.5,333,0,261.146,328.296
2026-04-06 20:23:28,357,131,0,42.649,66.964,65.5,165,10807.5,131,0,18.466,23.221
2026-04-06 20:23:30,13,331,0,918.592,443.516,165.5,165,27307.5,331,0,244.323,331.647
2026-04-06 20:23:32,2,4,0,10.25,3.345,2,165,330,4,0,2.5,3.5
2026-04-06 20:23:34,0,1,0,9,0,0.5,165,82.5,1,0,2,3
