DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 21:03:24,412,155,0,373.019,382.006,77.5,77,5967.5,0,0,91.49,126.935
2026-04-06 21:03:26,301,305,0,750.01,392.169,152.5,152.016,23182.5,260,0,212.439,279
2026-04-06 21:03:28,8,37,0,6.973,2.756,18.5,165,3052.5,37,0,1.351,2.351
2026-04-06 21:03:30,1,3,0,11.333,2.055,1.5,165,247.5,3,0,3,4.667
