DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 18:53:29,900,100,0,1465.17,451.923,50,77,3850,0,0,328.05,464.6
2026-03-29 18:53:31,813,404,0,1532.262,405.953,202,143.218,28930,304,0,346.47,411.968
2026-03-29 18:53:33,1,495,0,1464.677,612.316,247.5,165,40837.5,495,0,269.244,369.479
2026-03-29 18:53:35,0,1,0,11,0,0.5,165,82.5,1,0,3,4
