DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 15:23:26,906,123,0,754.423,396.298,61.5,74,4551,0,0,239.691,325.537
2026-03-29 15:23:28,740,151,0,887.589,365.779,75.5,118.596,8954,74,0,296.026,393.444
2026-03-29 15:23:30,408,318,0,1194.918,518.406,159,165,26235,318,0,312.616,404.72
2026-03-29 15:23:32,101,307,0,1192.046,357.518,153.5,165,25327.5,307,0,318.632,396.951
2026-03-29 15:23:34,0,101,0,1180.871,313.222,50.5,165,8332.5,101,0,247.059,337.307
