DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-29 15:43:26,707,93,0,337.634,217.634,46.5,77,3580.5,0,0,78.376,171.796
2026-03-29 15:43:28,586,123,0,1431.236,563.61,61.5,89.163,5483.5,17,0,328.797,387.626
2026-03-29 15:43:30,328,261,0,733.858,551.246,130.5,164.663,21488.5,260,0,196.441,268.72
2026-03-29 15:43:32,22,301,0,692.243,350.403,150.5,165,24832.5,301,0,205.256,250.581
2026-03-29 15:43:34,4,18,0,8.889,2.622,9,165,1485,18,0,2.444,3.5
2026-03-29 15:43:36,0,4,0,10.25,2.046,2,165,330,4,0,3.25,4.5
