DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 20:33:24,328,298,0,466.245,294.375,149,103.926,15485,98,0,123.228,174.966
2026-04-06 20:33:26,10,191,1,725.749,463.267,95.5,165,15757.5,191,0,141.916,171.576
2026-04-06 20:33:28,1,9,0,9.333,2.708,4.5,165,742.5,9,0,2.111,3.111
2026-04-06 20:33:30,0,1,0,11,0,0.5,165,82.5,1,0,3,4
