"Time","System CPU Usage"
2026-03-27 17:43:00.000,0.00574%
2026-03-27 17:43:03.000,0.0112%
2026-03-27 17:43:06.000,0.00625%
2026-03-27 17:43:09.000,0.00463%
2026-03-27 17:43:12.000,0.00960%
2026-03-27 17:43:15.000,0.00588%
2026-03-27 17:43:18.000,0.00675%
2026-03-27 17:43:21.000,0.0132%
2026-03-27 17:43:24.000,0.0399%
2026-03-27 17:43:27.000,0.149%
2026-03-27 17:43:30.000,0.0603%
2026-03-27 17:43:33.000,0.0157%
2026-03-27 17:43:36.000,0.00714%
2026-03-27 17:43:39.000,0.00609%
2026-03-27 17:43:42.000,0.0121%
2026-03-27 17:43:45.000,0.0159%
