"Time","System CPU Usage"
2026-03-27 17:33:00.000,0.0104%
2026-03-27 17:33:03.000,0.00625%
2026-03-27 17:33:06.000,0.00498%
2026-03-27 17:33:09.000,0.0107%
2026-03-27 17:33:12.000,0.00777%
2026-03-27 17:33:15.000,0.00436%
2026-03-27 17:33:18.000,0.00358%
2026-03-27 17:33:21.000,0.146%
2026-03-27 17:33:24.000,0.134%
2026-03-27 17:33:27.000,0.00782%
2026-03-27 17:33:30.000,0.00971%
2026-03-27 17:33:33.000,0.00603%
2026-03-27 17:33:36.000,0.00766%
2026-03-27 17:33:39.000,0.00850%
2026-03-27 17:33:42.000,0.00680%
2026-03-27 17:33:45.000,0.00762%
