DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-27 17:23:23,875,235,0,1018.813,458.679,117.5,93.511,10987.5,35,0,320.098,423.226
2026-03-27 17:23:25,605,160,0,1352.425,635.713,80,165,13200,160,0,502.363,622.513
2026-03-27 17:23:28,238,367,0,897.177,667.668,183.5,165,30277.5,367,0,339.787,423.975
2026-03-27 17:23:30,21,217,0,609.562,355.315,108.5,165,17902.5,217,0,126.558,192.682
2026-03-27 17:23:32,3,18,0,9.222,2.174,9,165,1485,18,0,2.556,3.889
2026-03-27 17:23:34,1,2,0,9,4,1,165,165,2,0,2,3.5
2026-03-27 17:23:36,0,1,0,11,0,0.5,165,82.5,1,0,3,4
