"Time","pessimistic"
2026-03-27 17:03:00.000,NaN
2026-03-27 17:03:03.000,NaN
2026-03-27 17:03:06.000,NaN
2026-03-27 17:03:09.000,NaN
2026-03-27 17:03:12.000,NaN
2026-03-27 17:03:15.000,NaN
2026-03-27 17:03:18.000,NaN
2026-03-27 17:03:21.000,55.8 ms
2026-03-27 17:03:24.000,15.0 ms
2026-03-27 17:03:27.000,1.77 ms
2026-03-27 17:03:30.000,779 µs
2026-03-27 17:03:33.000,NaN
2026-03-27 17:03:36.000,NaN
2026-03-27 17:03:39.000,NaN
2026-03-27 17:03:42.000,NaN
2026-03-27 17:03:45.000,NaN
