"Time","pub-sub"
2026-03-27 18:03:00.000,NaN
2026-03-27 18:03:03.000,NaN
2026-03-27 18:03:06.000,NaN
2026-03-27 18:03:09.000,NaN
2026-03-27 18:03:12.000,NaN
2026-03-27 18:03:15.000,NaN
2026-03-27 18:03:18.000,NaN
2026-03-27 18:03:21.000,3.39 ms
2026-03-27 18:03:24.000,1.45 ms
2026-03-27 18:03:27.000,1.48 ms
2026-03-27 18:03:30.000,NaN
2026-03-27 18:03:33.000,NaN
2026-03-27 18:03:36.000,NaN
2026-03-27 18:03:39.000,NaN
2026-03-27 18:03:42.000,NaN
2026-03-27 18:03:45.000,NaN
