"Time","System CPU Usage"
2026-03-27 18:23:00.000,0.00603%
2026-03-27 18:23:03.000,0.0100%
2026-03-27 18:23:06.000,0.00836%
2026-03-27 18:23:09.000,0.00356%
2026-03-27 18:23:12.000,0.00810%
2026-03-27 18:23:15.000,0.00434%
2026-03-27 18:23:18.000,0.00404%
2026-03-27 18:23:21.000,0.00634%
2026-03-27 18:23:24.000,0.0742%
2026-03-27 18:23:27.000,0.0550%
2026-03-27 18:23:30.000,0.0928%
2026-03-27 18:23:33.000,0.0321%
2026-03-27 18:23:36.000,0.00751%
2026-03-27 18:23:39.000,0.00530%
2026-03-27 18:23:42.000,0.0111%
2026-03-27 18:23:45.000,0.00683%
