DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-03-27 18:23:25,731,280,0,649.382,564.571,140,102.143,14300,80,0,189.657,245.521
2026-03-27 18:23:27,612,206,0,1155.117,466.517,103,165,16995,206,0,459.476,546.714
2026-03-27 18:23:29,317,197,0,773.015,345.169,98.5,165,16252.5,197,0,183.563,264.487
2026-03-27 18:23:31,105,225,0,702.511,407.865,112.5,165,18562.5,225,0,176.378,254.538
2026-03-27 18:23:33,4,88,0,534.455,314.9,44,165,7260,88,0,112.545,185.318
2026-03-27 18:23:35,0,4,0,12.5,0.866,2,165,330,4,0,3.5,4.75
