Order,Lock,Vuser,DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
4,Pub/Sub Lock,1000,2026-04-13 02:43:47,285,470,0,850.385,447.057,235.0,165.0,38775.0,470,0,222.77,307.415
4,Pub/Sub Lock,1000,2026-04-13 02:43:49,6,27,0,7.148,3.1,13.5,165.0,2227.5,27,0,1.852,2.852
4,Pub/Sub Lock,1000,2026-04-13 02:43:51,0,4,0,11.0,1.225,2.0,165.0,330.0,4,0,3.5,4.75
4,ZooKeeper Lock,500,2026-04-13 02:54:48,418,86,0,32.581,32.908,43.0,79.0,3397.0,0,0,5.302,9.128
4,ZooKeeper Lock,500,2026-04-13 02:54:50,171,290,0,878.824,437.366,145.0,131.193,19023.0,176,0,263.738,291.759
4,ZooKeeper Lock,500,2026-04-13 02:54:52,4,122,0,467.508,323.838,61.0,165.0,10065.0,122,0,123.73,146.361
4,ZooKeeper Lock,500,2026-04-13 02:54:54,1,1,0,14.0,0.0,0.5,165.0,82.5,1,0,4.0,6.0
4,ZooKeeper Lock,500,2026-04-13 02:54:56,0,1,0,13.0,0.0,0.5,165.0,82.5,1,0,4.0,6.0
4,ZooKeeper Lock,800,2026-04-13 03:06:01,715,155,0,225.445,276.511,77.5,79.0,6122.5,0,0,68.271,78.542
4,ZooKeeper Lock,800,2026-04-13 03:06:03,351,444,0,946.84,705.004,222.0,156.284,34695.0,399,0,272.836,338.59
4,ZooKeeper Lock,800,2026-04-13 03:06:05,32,178,0,347.32,393.999,89.0,165.0,14685.0,178,0,107.848,125.584
4,ZooKeeper Lock,800,2026-04-13 03:06:07,3,20,0,9.55,8.936,10.0,165.0,1650.0,20,0,1.65,2.65
4,ZooKeeper Lock,800,2026-04-13 03:06:09,0,3,0,11.667,3.399,1.5,165.0,247.5,3,0,3.333,5.0
4,ZooKeeper Lock,1000,2026-04-13 03:17:10,833,253,0,762.162,608.818,126.5,99.055,12530.5,59,0,175.711,236.047
4,ZooKeeper Lock,1000,2026-04-13 03:17:12,563,184,0,435.717,481.36,92.0,162.196,14922.0,178,0,149.087,180.582
4,ZooKeeper Lock,1000,2026-04-13 03:17:14,144,419,0,861.537,569.689,209.5,165.0,34567.5,419,0,267.074,370.647
4,ZooKeeper Lock,1000,2026-04-13 03:17:16,23,121,0,45.95,66.692,60.5,165.0,9982.5,121,0,23.281,27.347
4,ZooKeeper Lock,1000,2026-04-13 03:17:18,6,17,0,10.647,3.217,8.5,165.0,1402.5,17,0,2.471,3.765
4,ZooKeeper Lock,1000,2026-04-13 03:17:20,1,5,0,12.4,2.245,2.5,165.0,412.5,5,0,3.6,4.8
4,ZooKeeper Lock,1000,2026-04-13 03:17:22,0,1,0,6.0,0.0,0.5,165.0,82.5,1,0,1.0,2.0
4,Adaptive Lock,500,2026-04-22 19:08:01,415,85,0,12.4,12.217,42.5,81.0,3442.5,0,0,2.024,3.706
4,Adaptive Lock,500,2026-04-22 19:08:03,347,134,0,199.545,171.527,67.0,92.91,6225.0,19,0,82.112,120.09
4,Adaptive Lock,500,2026-04-22 19:08:05,38,243,0,353.387,323.485,121.5,165.0,20047.5,243,0,177.218,210.457
4,Adaptive Lock,500,2026-04-22 19:08:07,5,34,0,7.912,1.869,17.0,165.0,2805.0,34,0,1.853,2.941
4,Adaptive Lock,500,2026-04-22 19:08:09,1,3,0,11.333,0.471,1.5,165.0,247.5,3,0,2.667,4.0
4,Adaptive Lock,500,2026-04-22 19:08:11,1,1,0,10.0,0.0,0.5,165.0,82.5,1,0,4.0,5.0
4,Adaptive Lock,800,2026-04-22 19:19:14,711,89,0,53.933,49.718,44.5,81.0,3604.5,0,0,12.18,23.281
4,Adaptive Lock,800,2026-04-22 19:19:16,535,318,0,463.717,453.187,159.0,135.679,21573.0,207,0,154.019,205.623
4,Adaptive Lock,800,2026-04-22 19:19:18,153,335,2,295.794,298.635,167.5,165.0,27637.5,335,0,100.737,140.481
